id,speaker_id,source_lang,speaker_is_native,delivery,date,topic,topic_specific,video,notes,required_langs,created,modified,user_id,recycled
1,1,en,N,mixed,2011-01-17,Politics,Order of business,1,,"de,fi,fr,hu,it,pl",2018-10-04 17:02:45,2022-04-05 15:29:01,2,0
2,2,pl,Y,impromptu,2011-02-11,Opening of the session,XXX,1,,en,2019-02-18 14:11:18,2019-12-06 10:10:05,3,0
6,3,en,N,read,2011-01-17,Politics,Statement by the President of the European Parliament on the situation in Tunisia,0,,"de,fi,hu",2019-03-05 12:25:22,2021-12-01 15:20:36,6,0
7,6,it,Y,impromptu,2011-01-17,Society and Culture,Order of business,0,,,2019-03-05 12:35:03,2019-03-05 12:35:03,7,0
8,32,en,N,read,2011-01-17,Politics,Statement by the President of the European Parliament on the situation in Tunisia,0,,"de,fi",2019-03-11 12:44:54,2022-04-08 16:40:02,6,0
9,35,en,Y,read,2011-01-17,Politics,Statement by the President of the European Parliament on the situation in Tunisia,0,,"de,fi",2019-03-11 12:47:33,2022-04-15 15:10:00,6,0
10,36,en,Y,read,2011-01-17,Politics,Statement by the President of the European Parliament on the situation in Tunisia,0,,"de,fi",2019-03-11 12:50:36,2022-04-15 15:59:59,6,0
11,38,en,Y,read,2011-01-17,Economics and Finance,Harmonised conditions for the marketing of construction products,0,,"de,fi",2019-03-11 12:52:30,2022-04-06 10:55:41,6,0
12,41,en,Y,read,2011-01-17,Economics and Finance,Harmonised conditions for the marketing of construction products,0,,"de,fi",2019-03-11 12:53:36,2022-04-06 11:20:28,6,0
13,42,en,Y,mixed,2011-01-17,Economics and Finance,Harmonised conditions for the marketing of construction products,0,,"de,fi",2019-03-11 12:55:10,2022-04-12 16:29:40,6,0
14,38,en,Y,mixed,2011-01-17,Economics and Finance,Harmonised conditions for the marketing of construction products,0,,"de,fi",2019-03-11 12:56:08,2022-04-18 14:36:12,6,0
15,44,en,N,read,2011-01-17,Health,Consequences in the European Union of the dioxin animal feed incident,0,,"de,fi",2019-03-11 12:57:35,2022-04-14 16:46:13,6,0
16,45,en,Y,impromptu,2011-01-17,Health,Consequences in the European Union of the dioxin animal feed incident,0,,"de,fi",2019-03-11 12:59:32,2022-04-18 14:37:30,6,0
17,46,en,Y,read,2011-01-17,Health,Consequences in the European Union of the dioxin animal feed incident,0,,"de,fi",2019-03-11 13:00:39,2022-04-21 18:05:18,6,0
18,48,en,N,read,2011-01-17,Health,Consequences in the European Union of the dioxin animal feed incident,0,,"de,fi",2019-03-11 13:02:03,2022-04-21 22:33:55,6,0
19,50,en,Y,mixed,2011-01-17,Health,Consequences in the European Union of the dioxin animal feed incident,0,,"de,fi",2019-03-11 13:03:28,2022-04-21 23:08:40,6,0
20,51,en,Y,read,2011-01-17,Health,Consequences in the European Union of the dioxin animal feed incident,0,,"de,fi",2019-03-11 13:05:21,2022-04-22 00:17:45,6,0
21,53,en,Y,read,2011-01-17,Environment,EU Cameroon forest law agreement EU Republic of Congo forest law agreement FLEGT voluntary partnership agreements,0,,"de,fi",2019-03-11 13:07:12,2022-04-06 23:39:34,6,0
22,55,en,Y,read,2011-01-17,Environment,EU Cameroon forest law agreement EU Republic of Congo forest law agreement FLEGT voluntary partnership agreements,0,,"de,fi",2019-03-11 13:08:14,2022-04-18 15:56:30,6,0
23,56,en,Y,read,2011-01-17,Environment,EU Cameroon forest law agreement EU Republic of Congo forest law agreement FLEGT voluntary partnership agreements,0,,"de,fi",2019-03-11 13:09:58,2022-04-23 18:22:44,6,0
