text.id;text.date;text.length;text.lengthw;text.duration;text.durations;text.speed;text.speedwm;text.delivery;text.topic;text.topicspec;text.type;text.comments;speaker.name;speaker.gender;speaker.country;speaker.native;speaker.politfunc;speaker.politgroup;st.language;st.length;st.lengthw;st.duration;st.durations;st.speed;st.speedwm;st.delivery;interpreter.gender;interpreter.native;s.id;s.video;s.text;interpreter.id;st.gender;st.native;event.id;lang;mode
0001en_sp_st;17-01-11;short;232;short;76;high;182.7;read;Politics;Order of business;EN spoken sources;;Tavares Rui;M;Portugal;n;MEP;GUE-NGL;;;;;;;;;;;2;http://amelia.sslmit.unibo.it/video/video.php?id=0001en_sp_st&start=00:06.6&end=00:08.0;Thank you President.;;;;0001;en;sp
0001en_sp_st;17-01-11;short;232;short;76;high;182.7;read;Politics;Order of business;EN spoken sources;;Tavares Rui;M;Portugal;n;MEP;GUE-NGL;;;;;;;;;;;3;http://amelia.sslmit.unibo.it/video/video.php?id=0001en_sp_st&start=00:08.0&end=00:16.1;Well, some colleagues took the initiative of putting in the agenda an urgency resolution on Brazil's refusal to extradite Cesare Battisti to Italy.;;;;0001;en;sp
0001en_sp_st;17-01-11;short;232;short;76;high;182.7;read;Politics;Order of business;EN spoken sources;;Tavares Rui;M;Portugal;n;MEP;GUE-NGL;;;;;;;;;;;4;http://amelia.sslmit.unibo.it/video/video.php?id=0001en_sp_st&start=00:16.1&end=00:22.1;I do understand their motives, but as I shall demonstrate, this is not a present human rights case.;;;;0001;en;sp
0001en_sp_st;17-01-11;short;232;short;76;high;182.7;read;Politics;Order of business;EN spoken sources;;Tavares Rui;M;Portugal;n;MEP;GUE-NGL;;;;;;;;;;;5;http://amelia.sslmit.unibo.it/video/video.php?id=0001en_sp_st&start=00:22.1&end=00:27.3;It is not an urgent case and it is not even a 'breach of the Rule of Law' case.;;;;0001;en;sp
0001en_sp_st;17-01-11;short;232;short;76;high;182.7;read;Politics;Order of business;EN spoken sources;;Tavares Rui;M;Portugal;n;MEP;GUE-NGL;;;;;;;;;;;6;http://amelia.sslmit.unibo.it/video/video.php?id=0001en_sp_st&start=00:27.3&end=00:34.1;Furthermore, it comes at a terrible moment when Brazil is facing the worst natural disaster in its history.;;;;0001;en;sp
0001en_sp_st;17-01-11;short;232;short;76;high;182.7;read;Politics;Order of business;EN spoken sources;;Tavares Rui;M;Portugal;n;MEP;GUE-NGL;;;;;;;;;;;7;http://amelia.sslmit.unibo.it/video/video.php?id=0001en_sp_st&start=00:34.1&end=00:36.1;Cesare Battisti is in prison.;;;;0001;en;sp
0001en_sp_st;17-01-11;short;232;short;76;high;182.7;read;Politics;Order of business;EN spoken sources;;Tavares Rui;M;Portugal;n;MEP;GUE-NGL;;;;;;;;;;;8;http://amelia.sslmit.unibo.it/video/video.php?id=0001en_sp_st&start=00:36.1&end=00:42.7;He is waiting for a decision of the Brazil Supreme Court and the Supreme Court is in the holidays of the southern hemisphere.;;;;0001;en;sp
0001en_sp_st;17-01-11;short;232;short;76;high;182.7;read;Politics;Order of business;EN spoken sources;;Tavares Rui;M;Portugal;n;MEP;GUE-NGL;;;;;;;;;;;9;http://amelia.sslmit.unibo.it/video/video.php?id=0001en_sp_st&start=00:42.7&end=00:46.8;There is no reason to believe that there won't be an independent decision.;;;;0001;en;sp
0001en_sp_st;17-01-11;short;232;short;76;high;182.7;read;Politics;Order of business;EN spoken sources;;Tavares Rui;M;Portugal;n;MEP;GUE-NGL;;;;;;;;;;;10;http://amelia.sslmit.unibo.it/video/video.php?id=0001en_sp_st&start=00:46.8&end=01:05.1;I expressed my solidarity with the families of the victims in this case and, rest assured, I have no sympathy towards political violence either from the right or the left, but we should use the urgencies to debate Southern Sudan, the case of Buchtar Tabuni in In- in Indonesia, or the Palestinian man shot dead in his bed.;;;;0001;en;sp
0001en_sp_st;17-01-11;short;232;short;76;high;182.7;read;Politics;Order of business;EN spoken sources;;Tavares Rui;M;Portugal;n;MEP;GUE-NGL;;;;;;;;;;;11;http://amelia.sslmit.unibo.it/video/video.php?id=0001en_sp_st&start=01:05.1&end=01:18.7;Will the Parliament grant President Dilma Rousseff, on the very first occasion after her groundbaking groundbreaking election and for no sound formal reason, the kind of debate that we usually reserve for people like Mugabe?;;;;0001;en;sp
